,Country Name,Year,GDP,Population (Millions),CO2 per capita (Trillions),GDP (Trillions USD($)),GDP per capita
84,Malawi,2019,11051852712.6142,19.025752,0.0891084,0.011051852712614201,580.8891397624757
85,Malawi,2020,11769313597.8545,19.533888,0.09563126,0.0117693135978545,602.507478176106
86,Malawi,2021,12378119199.0839,20.047258,0.08392642,0.0123781191990839,617.4469944510067
87,Malawi,2022,12429059928.102,20.568728,0.08757896,0.012429059928101999,604.2697403603178
88,Malawi,2023,13363669672.9405,21.104482,0.087780796,0.0133636696729405,633.2147679786929
89,Malawi,2024,11316411329.4619,21.655286,0.08688312,0.0113164113294619,522.5703936425452
90,United Kingdom,1980,564947710899.373,56.314216,10.288156,0.564947710899373,10032.062080014983
91,United Kingdom,1981,540765675241.158,56.333829,9.955621,0.540765675241158,9599.306222219653
92,United Kingdom,1982,515048916841.37,56.313641,9.738896,0.51504891684137,9146.077357018525
93,United Kingdom,1983,489618008185.539,56.332848,9.683191,0.489618008185539,8691.518813065142
94,United Kingdom,1984,461487097632.349,56.422072,9.372629,0.461487097632349,8179.194440649911
95,United Kingdom,1985,489285164271.047,56.550268,9.886416,0.489285164271047,8652.216542475926
96,United Kingdom,1986,601452653180.885,56.681396,10.018491,0.601452653180885,10611.112210095973
97,United Kingdom,1987,745162608269.325,56.80205,10.049029,0.7451626082693249,13118.58653462903
98,United Kingdom,1988,910122732123.799,56.928327,10.000239,0.9101227321237989,15987.168077568815
99,United Kingdom,1989,926884816753.927,57.076711,10.170335,0.926884816753927,16239.282196094426
100,United Kingdom,1990,1093169389204.55,57.247586,10.4927225,1.09316938920455,19095.466998460863
101,United Kingdom,1991,1142797178130.51,57.424897,10.588317,1.14279717813051,19900.726650506836
102,United Kingdom,1992,1179659529659.53,57.580402,10.288521,1.17965952965953,20487.170785287846
103,United Kingdom,1993,1061388722255.55,57.718614,10.017321,1.06138872225555,18389.019567509888
104,United Kingdom,1994,1140489745944.29,57.865745,9.896297,1.14048974594429,19709.238098365277
105,United Kingdom,1995,1349094208616.06,58.01903,9.735405,1.34909420861606,23252.61571274218
106,United Kingdom,1996,1425287051482.06,58.16695,10.0647545,1.4252870514820601,24503.38296029034
107,United Kingdom,1997,1569317288801.57,58.316954,9.62765,1.56931728880157,26910.138152990123
108,United Kingdom,1998,1660821464060.95,58.487141,9.697672,1.66082146406095,28396.352354801376
109,United Kingdom,1999,1693458987218.9,58.682466,9.545588,1.6934589872188999,28858.00653331269
110,United Kingdom,2000,1671597821152.97,58.892514,9.635275,1.67159782115297,28383.876109499586
111,United Kingdom,2001,1656171009068.66,59.119673,9.748509,1.6561710090686599,28013.87296355073
112,United Kingdom,2002,1790536570743.41,59.370479,9.40991,1.79053657074341,30158.701780785865
113,United Kingdom,2003,2061227755102.04,59.647577,9.555585,2.06122775510204,34556.7726095905
